key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat kętrzyński__warmińsko-mazurskie,Powiat kętrzyński,powiat kętrzyński,warmińsko-mazurskie,62054,1212.99
powiat kłobucki__śląskie,Powiat kłobucki,powiat kłobucki,śląskie,84501,888.59
powiat kłodzki__dolnośląskie,Powiat kłodzki,powiat kłodzki,dolnośląskie,157191,1643.30
powiat legionowski__mazowieckie,Powiat legionowski,powiat legionowski,mazowieckie,119306,390.76
powiat legnicki__dolnośląskie,Powiat legnicki,powiat legnicki,dolnośląskie,55210,744.08
powiat leski__podkarpackie,Powiat leski,powiat leski,podkarpackie,26413,834.94
powiat leszczyński__wielkopolskie,Powiat leszczyński,powiat leszczyński,wielkopolskie,57544,805.81
powiat leżajski__podkarpackie,Powiat leżajski,powiat leżajski,podkarpackie,69233,583.71
powiat lidzbarski__warmińsko-mazurskie,Powiat lidzbarski,powiat lidzbarski,warmińsko-mazurskie,41039,925.00
powiat limanowski__małopolskie,Powiat limanowski,powiat limanowski,małopolskie,131997,951.23
powiat lipnowski__kujawsko-pomorskie,Powiat lipnowski,powiat lipnowski,kujawsko-pomorskie,65574,1015.74
powiat lipski__mazowieckie,Powiat lipski,powiat lipski,mazowieckie,33738,740.22
powiat lubaczowski__podkarpackie,Powiat lubaczowski,powiat lubaczowski,podkarpackie,54979,1308.37
powiat lubartowski__lubelskie,Powiat lubartowski,powiat lubartowski,lubelskie,88152,1288.74
powiat lubański__dolnośląskie,Powiat lubański,powiat lubański,dolnośląskie,54070,428.30
powiat lubelski__lubelskie,Powiat lubelski,powiat lubelski,lubelskie,156002,1679.53
powiat lubiński__dolnośląskie,Powiat lubiński,powiat lubiński,dolnośląskie,106106,711.62
powiat lubliniecki__śląskie,Powiat lubliniecki,powiat lubliniecki,śląskie,76326,822.25
powiat lwówecki__dolnośląskie,Powiat lwówecki,powiat lwówecki,dolnośląskie,45770,709.69
powiat lęborski__pomorskie,Powiat lęborski,powiat lęborski,pomorskie,66069,707.77
powiat makowski__mazowieckie,Powiat makowski,powiat makowski,mazowieckie,44667,1064.63
powiat malborski__pomorskie,Powiat malborski,powiat malborski,pomorskie,63401,494.23
powiat miechowski__małopolskie,Powiat miechowski,powiat miechowski,małopolskie,48689,676.29
powiat mielecki__podkarpackie,Powiat mielecki,powiat mielecki,podkarpackie,136672,880.50
powiat mikołowski__śląskie,Powiat mikołowski,powiat mikołowski,śląskie,99211,233.10
powiat milicki__dolnośląskie,Powiat milicki,powiat milicki,dolnośląskie,36913,714.93
powiat międzychodzki__wielkopolskie,Powiat międzychodzki,powiat międzychodzki,wielkopolskie,36686,736.44
powiat międzyrzecki__lubuskie,Powiat międzyrzecki,powiat międzyrzecki,lubuskie,57374,1387.61
powiat miński__mazowieckie,Powiat miński,powiat miński,mazowieckie,154942,1163.72
powiat mogileński__kujawsko-pomorskie,Powiat mogileński,powiat mogileński,kujawsko-pomorskie,45514,675.12
powiat moniecki__podlaskie,Powiat moniecki,powiat moniecki,podlaskie,40251,1381.79
powiat mrągowski__warmińsko-mazurskie,Powiat mrągowski,powiat mrągowski,warmińsko-mazurskie,49660,1065.38
powiat myszkowski__śląskie,Powiat myszkowski,powiat myszkowski,śląskie,70709,479.25
powiat myślenicki__małopolskie,Powiat myślenicki,powiat myślenicki,małopolskie,127872,673.08
powiat myśliborski__zachodniopomorskie,Powiat myśliborski,powiat myśliborski,zachodniopomorskie,65426,1182.40
powiat mławski__mazowieckie,Powiat mławski,powiat mławski,mazowieckie,72448,1181.82
powiat nakielski__kujawsko-pomorskie,Powiat nakielski,powiat nakielski,kujawsko-pomorskie,86226,1120.08
powiat namysłowski__opolskie,Powiat namysłowski,powiat namysłowski,opolskie,42680,748.18
powiat nidzicki__warmińsko-mazurskie,Powiat nidzicki,powiat nidzicki,warmińsko-mazurskie,32753,960.64
powiat niżański__podkarpackie,Powiat niżański,powiat niżański,podkarpackie,66430,785.64
powiat nowodworski__mazowieckie,Powiat nowodworski,powiat nowodworski,mazowieckie,79427,694.79
powiat nowodworski__pomorskie,Powiat nowodworski,powiat nowodworski,pomorskie,35483,674.08
powiat nowomiejski__warmińsko-mazurskie,Powiat nowomiejski,powiat nowomiejski,warmińsko-mazurskie,43769,693.93
powiat nowosolski__lubuskie,Powiat nowosolski,powiat nowosolski,lubuskie,86014,770.73
powiat nowosądecki__małopolskie,Powiat nowosądecki,powiat nowosądecki,małopolskie,216994,1549.80
powiat nowotarski__małopolskie,Powiat nowotarski,powiat nowotarski,małopolskie,191882,1474.99
powiat nowotomyski__wielkopolskie,Powiat nowotomyski,powiat nowotomyski,wielkopolskie,75675,1013.62
powiat nyski__opolskie,Powiat nyski,powiat nyski,opolskie,135524,1223.88
powiat obornicki__wielkopolskie,Powiat obornicki,powiat obornicki,wielkopolskie,59826,711.04
powiat olecki__warmińsko-mazurskie,Powiat olecki,powiat olecki,warmińsko-mazurskie,34050,873.60
powiat oleski__opolskie,Powiat oleski,powiat oleski,opolskie,64167,973.38
powiat oleśnicki__dolnośląskie,Powiat oleśnicki,powiat oleśnicki,dolnośląskie,107328,1049.31
powiat olkuski__małopolskie,Powiat olkuski,powiat olkuski,małopolskie,110900,618.11
powiat olsztyński__warmińsko-mazurskie,Powiat olsztyński,powiat olsztyński,warmińsko-mazurskie,127205,2838.02
powiat opatowski__świętokrzyskie,Powiat opatowski,powiat opatowski,świętokrzyskie,51834,910.90
powiat opoczyński__łódzkie,Powiat opoczyński,powiat opoczyński,łódzkie,75847,1040.19
powiat opolski__lubelskie,Powiat opolski,powiat opolski,lubelskie,58952,810.02
powiat opolski__opolskie,Powiat opolski,powiat opolski,opolskie,123813,1534.30
powiat ostrowiecki__świętokrzyskie,Powiat ostrowiecki,powiat ostrowiecki,świętokrzyskie,108436,616.78
powiat ostrowski__mazowieckie,Powiat ostrowski,powiat ostrowski,mazowieckie,72091,1217.79
powiat ostrowski__wielkopolskie,Powiat ostrowski,powiat ostrowski,wielkopolskie,161581,1160.12
powiat ostrołęcki__mazowieckie,Powiat ostrołęcki,powiat ostrołęcki,mazowieckie,88624,2093.55
powiat ostrzeszowski__wielkopolskie,Powiat ostrzeszowski,powiat ostrzeszowski,wielkopolskie,55436,772.63
powiat ostródzki__warmińsko-mazurskie,Powiat ostródzki,powiat ostródzki,warmińsko-mazurskie,103895,1766.29
powiat otwocki__mazowieckie,Powiat otwocki,powiat otwocki,mazowieckie,124460,615.92
powiat oławski__dolnośląskie,Powiat oławski,powiat oławski,dolnośląskie,76831,524.10
powiat oświęcimski__małopolskie,Powiat oświęcimski,powiat oświęcimski,małopolskie,153125,405.58
powiat pabianicki__łódzkie,Powiat pabianicki,powiat pabianicki,łódzkie,119225,492.18
powiat pajęczański__łódzkie,Powiat pajęczański,powiat pajęczański,łódzkie,51071,803.82
powiat parczewski__lubelskie,Powiat parczewski,powiat parczewski,lubelskie,34590,952.20
powiat piaseczyński__mazowieckie,Powiat piaseczyński,powiat piaseczyński,mazowieckie,189516,621.00
powiat pilski__wielkopolskie,Powiat pilski,powiat pilski,wielkopolskie,135928,1268.21
powiat piotrkowski__łódzkie,Powiat piotrkowski,powiat piotrkowski,łódzkie,91360,1428.74
powiat piski__warmińsko-mazurskie,Powiat piski,powiat piski,warmińsko-mazurskie,55952,1774.58
powiat pińczowski__świętokrzyskie,Powiat pińczowski,powiat pińczowski,świętokrzyskie,38691,612.85
